U12 BOYS' AND GIRLS' GAMES BY TIME:

Date & Time, Home Team, Away Team, Field, Division, Region
Week 1:
    2017-03-10 10:30:00, Team 2 Girls, Team 13 Girls, Miller East Field, U12, R64
    2017-03-10 10:30:00, Team 3 Girls, Team 12 Girls, McAuliffe Field, U12, R64
    2017-03-10 10:30:00, Team 5 Boys, Team 10 Boys, Kennedy Middle Field, U12, R35
    2017-03-10 10:30:00, Team 7 Boys, Team 8 Boys, R27 Field 1, U12, R27
    2017-03-10 12:00:00, Bye
    2017-03-10 12:00:00, Team 3 Boys, Team 12 Boys, McAuliffe Field, U12, R64
    2017-03-10 12:00:00, Team 6 Boys, Team 9 Boys, Kennedy Middle Field, U12, R35
    2017-03-10 13:30:00, Bye
    2017-03-10 13:30:00, Team 4 Girls, Team 11 Girls, McAuliffe Field, U12, R64
    2017-03-10 13:30:00, Team 5 Girls, Team 10 Girls, Kennedy Middle Field, U12, R35
    2017-03-10 13:30:00, Team 7 Girls, Team 8 Girls, R27 Field 1, U12, R27
    2017-03-10 15:00:00, Team 6 Girls, Team 9 Girls, Kennedy Middle Field, U12, R35
    2017-03-10 15:00:00, Team 2 Boys, Team 13 Boys, Miller East Field, U12, R64
    2017-03-10 15:00:00, Team 4 Boys, Team 11 Boys, McAuliffe Field, U12, R64

Week 2:
    2017-03-17 10:30:00, Team 13 Girls, Team 1 Girls, R1590 Field 1, U12, R1590
    2017-03-17 10:30:00, Team 9 Girls, Team 4 Girls, Manzanita Field 1, U12, R256
    2017-03-17 10:30:00, Bye
    2017-03-17 12:00:00, Bye
    2017-03-17 12:00:00, Team 6 Girls, Team 7 Girls, Kennedy Middle Field, U12, R35
    2017-03-17 12:00:00, Team 10 Boys, Team 3 Boys, Manzanita Field 1, U12, R256
    2017-03-17 12:00:00, Team 8 Boys, Team 5 Boys, R27 Field 1, U12, R27
    2017-03-17 13:30:00, Team 11 Girls, Team 2 Girls, R1631 Field 1, U12, R1631
    2017-03-17 13:30:00, Team 9 Boys, Team 4 Boys, Manzanita Field 1, U12, R256
    2017-03-17 13:30:00, Team 6 Boys, Team 7 Boys, Kennedy Middle Field, U12, R35
    2017-03-17 15:00:00, Team 10 Girls, Team 3 Girls, Manzanita Field 1, U12, R256
    2017-03-17 15:00:00, Team 8 Girls, Team 5 Girls, R27 Field 1, U12, R27
    2017-03-17 15:00:00, Team 13 Boys, Team 1 Boys, R1590 Field 1, U12, R1590
    2017-03-17 15:00:00, Team 11 Boys, Team 2 Boys, R1631 Field 1, U12, R1631

Week 3:
    2017-03-24 10:30:00, Team 5 Girls, Team 6 Girls, Kennedy Middle Field, U12, R35
    2017-03-24 10:30:00, Team 1 Boys, Team 12 Boys, Miller East Field, U12, R64
    2017-03-24 10:30:00, Team 13 Boys, Team 11 Boys, R1590 Field 1, U12, R1590
    2017-03-24 12:00:00, Team 1 Girls, Team 12 Girls, Miller East Field, U12, R64
    2017-03-24 12:00:00, Team 3 Girls, Team 8 Girls, McAuliffe Field, U12, R64
    2017-03-24 12:00:00, Bye
    2017-03-24 12:00:00, Team 7 Boys, Team 4 Boys, R27 Field 1, U12, R27
    2017-03-24 13:30:00, Bye
    2017-03-24 13:30:00, Team 2 Girls, Team 9 Girls, Miller East Field, U12, R64
    2017-03-24 13:30:00, Team 7 Girls, Team 4 Girls, R27 Field 1, U12, R27
    2017-03-24 15:00:00, Team 13 Girls, Team 11 Girls, R1590 Field 1, U12, R1590
    2017-03-24 15:00:00, Team 2 Boys, Team 9 Boys, Miller East Field, U12, R64
    2017-03-24 15:00:00, Team 3 Boys, Team 8 Boys, McAuliffe Field, U12, R64
    2017-03-24 15:00:00, Team 5 Boys, Team 6 Boys, Kennedy Middle Field, U12, R35

Week 4:
    2017-03-31 10:30:00, Team 2 Girls, Team 7 Girls, Miller East Field, U12, R64
    2017-03-31 10:30:00, Team 10 Boys, Team 12 Boys, Manzanita Field 1, U12, R256
    2017-03-31 12:00:00, Team 10 Girls, Team 12 Girls, Manzanita Field 1, U12, R256
    2017-03-31 12:00:00, Bye
    2017-03-31 12:00:00, Team 11 Boys, Team 1 Boys, R1631 Field 1, U12, R1631
    2017-03-31 12:00:00, Team 4 Boys, Team 5 Boys, McAuliffe Field, U12, R64
    2017-03-31 13:30:00, Team 9 Girls, Team 13 Girls, Manzanita Field 1, U12, R256
    2017-03-31 13:30:00, Team 6 Girls, Team 3 Girls, Kennedy Middle Field, U12, R35
    2017-03-31 13:30:00, Team 4 Girls, Team 5 Girls, McAuliffe Field, U12, R64
    2017-03-31 13:30:00, Team 2 Boys, Team 7 Boys, Miller East Field, U12, R64
    2017-03-31 15:00:00, Team 11 Girls, Team 1 Girls, R1631 Field 1, U12, R1631
    2017-03-31 15:00:00, Team 9 Boys, Team 13 Boys, Manzanita Field 1, U12, R256
    2017-03-31 15:00:00, Bye
    2017-03-31 15:00:00, Team 6 Boys, Team 3 Boys, Kennedy Middle Field, U12, R35

Week 5:
    2017-04-07 10:30:00, Team 1 Girls, Team 10 Girls, Miller East Field, U12, R64
    2017-04-07 10:30:00, Team 12 Girls, Team 8 Girls, R1631 Field 1, U12, R1631
    2017-04-07 10:30:00, Team 3 Girls, Team 4 Girls, McAuliffe Field, U12, R64
    2017-04-07 10:30:00, Bye
    2017-04-07 12:00:00, Team 12 Boys, Team 8 Boys, R1631 Field 1, U12, R1631
    2017-04-07 12:00:00, Team 3 Boys, Team 4 Boys, McAuliffe Field, U12, R64
    2017-04-07 13:30:00, Team 11 Girls, Team 9 Girls, R1631 Field 1, U12, R1631
    2017-04-07 13:30:00, Team 7 Girls, Team 13 Girls, R27 Field 1, U12, R27
    2017-04-07 13:30:00, Bye
    2017-04-07 13:30:00, Team 5 Girls, Team 2 Girls, Kennedy Middle Field, U12, R35
    2017-04-07 13:30:00, Team 1 Boys, Team 10 Boys, Miller East Field, U12, R64
    2017-04-07 15:00:00, Team 11 Boys, Team 9 Boys, R1631 Field 1, U12, R1631
    2017-04-07 15:00:00, Team 7 Boys, Team 13 Boys, R27 Field 1, U12, R27
    2017-04-07 15:00:00, Team 5 Boys, Team 2 Boys, Kennedy Middle Field, U12, R35

Week 6:
    2017-04-14 10:30:00, Team 9 Girls, Team 1 Girls, Manzanita Field 1, U12, R256
    2017-04-14 10:30:00, Team 7 Girls, Team 11 Girls, R27 Field 1, U12, R27
    2017-04-14 10:30:00, Team 13 Girls, Team 5 Girls, R1590 Field 1, U12, R1590
    2017-04-14 10:30:00, Team 2 Girls, Team 3 Girls, Miller East Field, U12, R64
    2017-04-14 12:00:00, Bye
    2017-04-14 12:00:00, Team 8 Boys, Team 10 Boys, R27 Field 1, U12, R27
    2017-04-14 13:30:00, Team 8 Girls, Team 10 Girls, R27 Field 1, U12, R27
    2017-04-14 13:30:00, Team 9 Boys, Team 1 Boys, Manzanita Field 1, U12, R256
    2017-04-14 13:30:00, Team 6 Boys, Team 12 Boys, Kennedy Middle Field, U12, R35
    2017-04-14 15:00:00, Team 6 Girls, Team 12 Girls, Kennedy Middle Field, U12, R35
    2017-04-14 15:00:00, Team 7 Boys, Team 11 Boys, R27 Field 1, U12, R27
    2017-04-14 15:00:00, Team 13 Boys, Team 5 Boys, R1590 Field 1, U12, R1590
    2017-04-14 15:00:00, Bye
