U12 GIRLS' GAMES BY TEAM:

Date & Time, Home Team, Away Team, Field, Division, Region

Team 1 Girls' Games:
    2017-03-10 13:30:00, Bye
    2017-03-17 10:30:00, Team 13 Girls, Team 1 Girls, R1590 Field 1, U12, R1590
    2017-03-24 12:00:00, Team 1 Girls, Team 12 Girls, Miller East Field, U12, R64
    2017-03-31 15:00:00, Team 11 Girls, Team 1 Girls, R1631 Field 1, U12, R1631
    2017-04-07 10:30:00, Team 1 Girls, Team 10 Girls, Miller East Field, U12, R64
    2017-04-14 10:30:00, Team 9 Girls, Team 1 Girls, Manzanita Field 1, U12, R256
    2017-04-21 12:00:00, Team 1 Girls, Team 8 Girls, Miller East Field, U12, R64
    2017-04-28 10:30:00, Team 7 Girls, Team 1 Girls, R27 Field 1, U12, R27
    2017-05-05 15:00:00, Team 1 Girls, Team 6 Girls, Miller East Field, U12, R64
    2017-05-12 13:30:00, Team 5 Girls, Team 1 Girls, Kennedy Middle Field, U12, R35

Team 10 Girls' Games:
    2017-03-10 13:30:00, Team 5 Girls, Team 10 Girls, Kennedy Middle Field, U12, R35
    2017-03-17 15:00:00, Team 10 Girls, Team 3 Girls, Manzanita Field 1, U12, R256
    2017-03-24 13:30:00, Bye
    2017-03-31 12:00:00, Team 10 Girls, Team 12 Girls, Manzanita Field 1, U12, R256
    2017-04-07 10:30:00, Team 1 Girls, Team 10 Girls, Miller East Field, U12, R64
    2017-04-14 13:30:00, Team 8 Girls, Team 10 Girls, R27 Field 1, U12, R27
    2017-04-21 10:30:00, Team 10 Girls, Team 6 Girls, Manzanita Field 1, U12, R256
    2017-04-28 12:00:00, Team 4 Girls, Team 10 Girls, McAuliffe Field, U12, R64
    2017-05-05 10:30:00, Team 10 Girls, Team 2 Girls, Manzanita Field 1, U12, R256
    2017-05-12 15:00:00, Team 13 Girls, Team 10 Girls, R1590 Field 1, U12, R1590

Team 11 Girls' Games:
    2017-03-10 13:30:00, Team 4 Girls, Team 11 Girls, McAuliffe Field, U12, R64
    2017-03-17 13:30:00, Team 11 Girls, Team 2 Girls, R1631 Field 1, U12, R1631
    2017-03-24 15:00:00, Team 13 Girls, Team 11 Girls, R1590 Field 1, U12, R1590
    2017-03-31 15:00:00, Team 11 Girls, Team 1 Girls, R1631 Field 1, U12, R1631
    2017-04-07 13:30:00, Team 11 Girls, Team 9 Girls, R1631 Field 1, U12, R1631
    2017-04-14 10:30:00, Team 7 Girls, Team 11 Girls, R27 Field 1, U12, R27
    2017-04-21 15:00:00, Team 5 Girls, Team 11 Girls, Kennedy Middle Field, U12, R35
    2017-04-28 10:30:00, Team 11 Girls, Team 3 Girls, R1631 Field 1, U12, R1631
    2017-05-05 10:30:00, Bye
    2017-05-12 12:00:00, Team 11 Girls, Team 12 Girls, R1631 Field 1, U12, R1631

Team 12 Girls' Games:
    2017-03-10 10:30:00, Team 3 Girls, Team 12 Girls, McAuliffe Field, U12, R64
    2017-03-17 12:00:00, Bye
